Population,Ln_Population,Labor_Force,Ln_Labor_Force,GDP,Ln_GDP,Urbanization,Literacy,Population_ Growth_Rate,Below_Poverty_Line,Median_Age,Life_Expectancy
2147585,15,789100,14,6900,9,38%,85%,1%,56%,22,52
29391883,17,18000000,17,1200,7,19%,49%,2%,25%,22,66
16847007,17,7816000,16,40300,11,83%,99%,0%,11%,41,80
4290347,15,2333000,15,27700,10,86%,99%,1%,0%,37,81
16468886,17,4688000,15,700,7,17%,29%,4%,63%,15,53
155215573,19,50480000,18,2500,8,50%,68%,2%,70%,19,48
24457492,17,12200000,16,1800,7,60%,99%,1%,17%,33,69
4691849,15,2602000,15,54600,11,79%,100%,0%,0%,40,80
3027959,15,968800,14,25600,10,73%,81%,2%,9%,24,74
187342721,19,55770000,18,2500,8,36%,50%,2%,24%,22,66
6187591,16,3809000,15,2500,8,13%,57%,2%,37%,22,66
6459058,16,3033000,15,5200,9,61%,94%,1%,19%,25,76
29248943,17,10580000,16,9200,9,77%,93%,1%,35%,26,72
101833938,18,38900000,17,3500,8,49%,93%,2%,33%,23,72
38441588,17,17660000,17,18800,10,61%,100%,0%,17%,39,76
10760305,16,5581000,16,23000,10,61%,93%,0%,18%,40,79
848016,14,1242000,14,179000,12,96%,89%,1%,0%,31,76
4243929,15,1514000,14,4100,8,62%,84%,3%,30%,17,55
21904551,17,9258000,16,11600,9,57%,97%,0%,25%,39,74
138739892,19,75490000,18,15900,10,73%,99%,0%,13%,39,66
11370425,16,4446000,15,1100,7,19%,70%,3%,60%,19,58
26131703,17,7337000,16,24200,10,82%,79%,2%,0%,25,74
12643799,16,5532000,16,1900,8,42%,39%,3%,54%,18,60
7310555,16,3250000,15,10900,9,56%,96%,0%,9%,41,74
5363669,15,2207000,15,900,7,38%,35%,2%,70%,19,56
4740737,15,3156000,15,62100,11,100%,93%,1%,0%,40,82
5477038,16,2707000,15,22000,10,55%,100%,0%,21%,38,76
2000092,15,935500,14,28200,10,50%,100%,0%,12%,42,77
9925640,16,3447000,15,600,6,37%,38%,2%,88%,18,50
49004031,18,17390000,17,10700,9,62%,86%,0%,50%,25,49
48754657,18,24750000,17,30000,10,83%,98%,0%,15%,38,79
46754784,18,23090000,17,29400,10,77%,98%,1%,20%,41,81
21283913,17,8074000,16,5000,9,14%,91%,1%,23%,31,76
45047502,18,11920000,16,2300,8,40%,61%,2%,40%,19,55
1370424,14,457900,13,4500,8,21%,82%,1%,69%,20,49
9088728,16,4961000,15,39100,11,85%,99%,0%,0%,42,81
7639961,16,4218000,15,42600,11,74%,99%,0%,7%,42,81
22517750,17,5529000,16,4800,8,56%,80%,1%,12%,22,75
23071779,17,11070000,16,35700,10,90%,96%,0%,1%,38,78
7627200,16,2100000,15,2000,8,26%,100%,2%,53%,23,66
42746620,18,23390000,17,1400,7,26%,69%,2%,36%,19,53
66720153,18,38640000,17,8700,9,34%,93%,1%,10%,34,74
1177834,14,414200,13,2600,8,28%,59%,2%,42%,23,68
6771993,16,2595000,15,900,7,43%,61%,3%,32%,19,63
10629186,16,3769000,15,9400,9,67%,74%,1%,4%,30,75
78785548,18,25640000,17,12300,9,70%,87%,1%,17%,29,73
4997503,15,2300000,15,7500,9,50%,99%,1%,30%,25,69
34612250,17,15510000,17,1300,7,13%,67%,4%,35%,15,53
45134707,18,22020000,17,6700,9,69%,99%,-1%,35%,40,69
5148664,15,3705000,15,49600,11,84%,78%,3%,20%,30,77
62698362,18,31520000,17,34800,10,80%,99%,1%,14%,40,80
313232044,20,153900000,19,47200,11,81%,99%,1%,15%,37,78
3308535,15,1637000,14,13700,10,92%,98%,0%,21%,34,76
28128600,17,16000000,17,3100,8,36%,99%,1%,26%,26,73
27635743,17,13110000,16,12700,9,93%,93%,1%,38%,26,74
90549390,18,47370000,18,3100,8,30%,94%,1%,11%,28,72
24133492,17,6832000,16,2700,8,32%,50%,3%,45%,18,64
13881336,16,5460000,16,1500,7,36%,81%,3%,64%,17,52
12084304,16,3848000,15,500,6,38%,91%,4%,68%,18,50
